name,alias,address,neighborhood,borough,begin_date,end_date,main1980s,mainSubcat,description,source,authors,sourceHyperlink
The Bitter End,,147 Bleecker Street,,,,,,,"""By the early 1960s, there were thriving clusters of clubs and coffeehouses featuring folk music throughout North America. . . Nowhere boasted nearly as strong a concentration . . . as Greenwich Village. Gerdes's Folk City, the Cafe Wha?, the Gaslight, and the Bitter End were just the most renowned of the Village folk clubs at the time. There were many others . . . Izzy Young's Folklore Center on MacDougal might have been the hippest place in the country for picking up folk books, records, magazines, and also staged its own performances, including early ones by Dylan."" Unterberger2002:38.","Unterberger, Richie. Turn! Turn! Turn! The Sixties Folk-Rock Revolution. San Francisco: Backbeat Books, 2002. ",TB,
The Boiler Room,,86 East Fourth Street,,,,,,,Gay bar. [TB: No good source found],,,
Bond Street Theater,,residential theater group at La Mama ETC,,,1976,,,,Began as resident theater group of La MaMa ETC. BondStreet2016.,"""Bond Street Theater: History."" Accessed June 10, 2016, http://www.bondst.org/history.html.",TB,
The Bottom Line,,15 West Fourth Street,,,1974,2004,,,"â€œOpened in 1974 as a rock and folk club, though jazz was occasionally presented there from the beginning--Grover Washington, Jr., appeared in 1974 and Charles Mingus also worked there in the mid-1970s. In the 1980s jazz formed a small but constant element of the repertory, and performers included Sun Ra and Dexter Gordon (both 1980), Andrew Cyrille and Lester Bowie (both 1983), Sonny Rollins (1984), Ralph Towner, John Abercrombie and Makoto Ozone (1985), and John Scofield (1987). By the 1990s jazz offerings were much more infrequent.â€ù GroveNightclubs2016.","""Nightclubs and other venues."" The New Grove Dictionary of Jazz, 2nd ed. Grove Music Online. Oxford Music Online. Oxford University Press, accessed June 3, 2016, http://ezproxy.library.nyu.edu:4211/subscriber/article/grove/music/J330000pg38.",TB,
Bowery Ballroom,,6 Delancey Street,,,,,,,Rock club. [TB: No good source found],,,
Boy Bar,,15 Saint Marks Place ,,,,,,,"""Drag became a main attraction with the opening of two gay nightclubs. The Pyramid, a fire-trap across from Tompkins Square, has been described as a cross between the cocaine-fuelled disco Studio 54 and the leather bar the Anvil. It was presided over by Hattie Hathaway, a drag queen with a fondness for East Side rock bands and irreverent improvs that mingled audience with performers. Boy Bar, [on] St. Mark's Place, was the brainchild of Matthew Kasden, who preferred Busby Berkeley glamor and lip-synching. . . A transitional figure was the self-styled 'transgender performer' International Chrysis, a member of the Hot Peaches."" Senelick2002:[page]","Senelick, Laurence. The Changing Room: Sex, Drag and Theatre. New York: Routledge, 2002 ",TB,
Bradleyâ€™s,,1 University Place,,,1969,1996,Music,Jazz,"Wendy Cunningham was the owner. â€œYoung [jazz] musicians learned their craft playing next to masters here. And the clubâ€™s intimacy . . . made the performances special, as if the musicians were playing in a living room, for themselves and by themselves. ''We felt that this was our territory, one of jazzâ€™s last great spiritual places,' said James Williams, a pianist and a member of the Memphis mafia of Harold Maburn, George Coleman and others who have made Bradley's their communal living room.â€ù Watrous2016.","Watrous, Peter. ""Quietly, Sorrowfully, A Jazz Club Dies."" New York Times (October 19, 1996). Accessed June 7, 2016, http://www.nytimes.com/1996/10/19/arts/quietly-sorrowfully-a-jazz-club-dies.html",TB,
The Broken Kilometer (Walter De Maria),,393 West Broadway,,,1979,,,,"Walter De Maria's ""Broken Kilometer"" was first installed at Dia's gallery space at 393 West Broadway . . . in 1979 and is on permanent display. It consists of 500 polished brass rods that are two meters long and two inches in diameter. These are place in five parallel rows, of 100 rods each, with spaces between the ends of the rods increasing by increments of five millimeters; laid out end to end, they would measure 3,280 feet."" Hoban1986:56.","Hoban, Phoebe. â€œMedicis for a Moment: The Collapse of the Dia Dream.â€ù New York Magazine (November 25, 1985), 52-58.",KU and TB,http://www.diaart.org/sites/page/53/1367
The Brook,,"40 West Seventeenth Street, eighth floor",Chelsea,,,,,,Charles Tyler's jazz loft. [TB: No good source found],"Cherches, Peter. Downtown Music, 1971-1987: An Overview and Resource Guide. 2007. Accessed June 7, 2016, http://www.nyu.edu/library/bobst/research/fales/DowntownMusic/cherches0.html.",,
Brooklyn,,,,,,,,,"[Brooklyn was home to a vibrant avant-garde jazz scene, 1960s-present day. See BPL special collections for ephemera plus interviews with artists]",,,
Brooklyn Academy of Music,,,,Brooklyn,,,,,"""The musical genres and modes of performance fostered in the downtown scene include loft jazz . . . musical performance art, disco, new wave, no wave, punk rock, experimental music of many kinds, and various fusions. . . . The Brooklyn Academy of Music . . . could be considered downtown's outpost across the East River."" Dohoney2015:118.","Dohoney, Ryan. â€œA Flexible Identity: Julius Eastman in New York City, 1976-90.â€ù In RenÃ©e Levine Packer and Mary Jane Leach, eds., Gay Guerrilla: Julius Eastman and His Music, 116-128. Rochester, N.Y.: University of Rochester Press, 2015.",TB,
Cafe au Go Go,,152 Bleecker Street,,,1964,1969,,,"""The first wave of 1960s Greenwich Village folk music was all acoustic: unamplified flattop guitars, banjos, dulcimers, harmonicas and the occasional standup bass. The groups were small â€” many solos and duos, a scattering of trios and a few rare quartets. Drums? Never! Most of the folkies were college-age white kids. With a few exceptions, like young Richie Havens, black folkies were older ladies and gents brought out of retirement by the white kids who loved the raw sound of old-timey country blues. The Villageâ€™s top clubs: Folk City, The Bitter End and The Gaslight. Then came the one-two punch that knocked that scene on its head. First, in the winter of 1964, The Beatles came, saw and conquered the American pop music charts. . . . Second, in the summer of 1965, Bob Dylan played the Newport Folk Festival with an electric band. . . . The new sound needed a new club, and that club was the CafÃ© au Go Go.â€ù This club is also notorious for having been the site of comedian Lenny Bruce's arrest, followed by a trial and conviction, on obscenity charges. Lydon2016.","Lydon, Michael. â€œHere we au Go Go again.â€ù The Villager (February 20, 2014). Accessed August 12, 2016, http://thevillager.com/2014/02/20/here-we-au-go-go-again/.",TB,
Cafe Wha?,,115 Macdougal Street,,,,,,,"""By the early 1960s, there were thriving clusters of clubs and coffeehouses featuring folk music throughout North America. . . Nowhere boasted nearly as strong a concentration . . . as Greenwich Village. Gerdes's Folk City, the Cafe Wha?, the Gaslight, and the Bitter End were just the most renowned of the Village folk clubs at the time. There were many others . . . Izzy Young's Folklore Center on MacDougal might have been the hippest place in the country for picking up folk books, records, magazines, and also staged its own performances, including early ones by Dylan."" Unterberger2002:38.","Unterberger, Richie. Turn! Turn! Turn! The Sixties Folk-Rock Revolution. San Francisco: Backbeat Books, 2002.",TB,
Cafe Bustello,,,,,,,,,[TB: From Anthony Coleman. No good source found],,,
Cat Club,,132 Fourth Avenue -OR- 76 East Thirteenth Street,,,,,,,Disco. [TB: No good source found],,,
CBGB,"CBGB's, CBGB & OMFUG (Country, Bluegrass, Blues and Other Music For Uplifting Gormandizers)",176 Bowery,,,1973,2006,,,"Television played their first CBGB show on 31 March 1974, followed by the Ramones and Blondie in summer 1974, and the Talking Heads in summer 1975. â€œBut it was the Patti Smith group, already notorious in local art and rock circles, that really set the CBGBâ€™s scene in motion when they paired up with Television [a band led by Richard Hell and Tom Verlaine] on a two-month residency in spring 1975.â€ù Gendron2006:53.","Gendron, Bernard. â€œThe Downtown Music Scene.â€ù In Marvin Taylor, ed., The Downtown Book: The New York Art Scene, 1974-1984, 41-64. Princeton, N.J.: Princeton University Press, 2006.",TB,
CBGB's Second Avenue,,66 Second Avenue,,,1977,1977 (December 27-31).,,,"Talking Heads were the inaugural band when Hilly Kristal's new club opened on December 27, 1977.  ""The venue, the former Anderson Theater [originally a Yiddish theater, held] over 1500 people, roughly four times as many as CBGBs itself."" Patti Smith and Richard Hell & the Voidoids rang in the New Year there on December 31, 1977. Closed down by NYC fire marshals that night, it never re-opened. Fletcher2009:403.","Fletcher, Tony. All Hopped Up and Ready to Go: Music from the Streets of New York, 1927-77. New York: W. W. Norton & Company, 2009.",TB,
Cedar Tavern,Cedar Street Bar,University Place near Tenth Street,,,,,,,"art bar, 1950s-early 1960s",,,
Cellar Cafe,,251 West Ninety-first Street,Upper West Side,,,,,,See re: Bill Dixon in The Trumpet Kings re: October Revolution in Jazz.,,,
Chandelier,Club Chandelier,120 Avenue C,,,,,,,"""Uzi Parnes . . . ran Chandelier on Avenue C. One of the most memorable events at the club was the LOISADA (Lower East Side) Beauty Pageant. The late Ethyl Eichelberger presided. . . in five inch heels. . . . Her sidekick, the late Rita Redd won Ms. Congeniality when she/he unfurled out of the American flag she was wrapped in. . . . Uzi was inspired and created ""Cheet Chats with Carmelita,"" a lesbian faux variety show. . . . The theme for one was, who were the greatest women in herstory? Among the greatest were Lois Weaver as country western singer Tammy Whynot, Lisa Kron as anthropologist Margaret Mead, Holly Hughes as Lady Godiva, and Yolanda Hawkins as Saint Joan of Arc."" Tropicana2002:263.","Tropicana, Carmelita. â€œGoodnight Irene: An Endnote.â€ù In Alisa Solomon and Framji Minwalla, eds., The Queerest Art: Essays on Lesbian and Gay Theater, 261-265. New York University Press, 2002.",TB,
China Club,,"West Seventy-fifth Street, below Beacon Hotel and Beacon Theater",Upper West Side,,1985,1997?,,,Rock club [TB: No good source found.],,,
China Club,,268 West Forty-seventh Street,Hell's Kitchen,,1997?,2011?,,,,,,
Cinema 16,,59 Park Avenue,Murray Hill,,1947,1963,,,"Avant-garde cinÃ©-club founded by Amos Vogel (b. Vogelbaum), theorist, curator, and author of Film as a Subversive Art (1974). MacDonald2002:[page tbd].","MacDonald, Scott. Cinema 16: Documents Toward a History of the Film Society. Philadelphia, Penn.: Temple University Press, 2002.",TB,
Civilian Warfare,,155 Avenue B,,,,closed by 1987,,,Art gallery,,SM,
Civilian Warfare,,East Ninth Street,,,,,,,,,,
Civilian Warfare,,526 East Eleventh Street,,,,,,,,,,
Civilisation,,78 Second Avenue,,,,,,,"""Exhibition spaces . . . are mostly small and street level. . . .And the pompous uptown custom of naming galleries after their proprietors is outâ€”the exhibition spaces here bear such designations as Fun . . . New Math, Piezo Electric, Nature Morte, and, simply, East 7th Street. ""I kind of think of the gallery as my living room,"" says Dean Savard, a 24-year-old painter who with his partner Alan Barrows runs Civilian Warfare, a miniscule storefront gallery at 526 East 11th Street. ""We cook in the back and we all eat dinner out here."" . . . The gallery is currently presenting the work of David Wojnarowicz . . . . [His] images--violent, erotic, and political--are painted over supermarket food posters, on garbage can lids, [and] found pieces of metal . . . and they seem right at home in the gritty street ambiance that surrounds them."" Glueck1983:2535.","Glueck, Grace. â€œA Gallery Scene that Pioneers in New Territories.â€ù New York Times (June 26, 1983). In D. J. R. Bruckner, ed.The New York Times Guide to the Arts of the 20th Century. Vol. 4, 1980-1999: 2534-2536. Chicago, Ill.: Fitzroy Dearborn Publishers, 2002.",TB,
Clemente Solo Velez Cultural Center,,107 Suffolk Street,,,,,,,"â€œNamed after the respected Puerto Rican poet, the Clemente Soto VÃ©lez Cultural and Educational Center was created to nurture and aid in the development of the Puerto Rican and Latino arts in the Lower East Side. The Clemente was founded in 1993 by Edgardo Vega YunquÃ©, Nelson Landrieu, and Mateo GÃ_mez. At the time, Teatro La Tea, established by Landrieu and GÃ_mez, was the only functioning theater in the building that now houses the Clemente. . . . Currently the Clemente houses twelve resident companies and fifty-three individual artists, of which one-third are Latino / Hispanic.â€ù MoMA2016.","Museum of Modern Art (MoMA). Finding aid to the Clemente Solo VÃ©lez Cultural and Educational Center archives. Accessed August 18, 2016, https://www.moma.org/learn/resources/latino_survey/velez_center.",TB,https://www.moma.org/learn/resources/latino_survey/velez_center
Clit Club,,101 Avenue A,,,1990,,,,"[TB: Itinerant, weekly lesbian dance party. No good source found.]",,,
Clit Club,,432 West Fourteenth Street,,,,2002,,,,,,
Clocktower Gallery,"Clocktower Productions, Art Radio WPS1",346 Broadway and 108 Leonard Street (secondary address),,,1972,2013,,,"""In 1972 Alana Heiss created the Clocktower Gallery, located on the top floor of [the former New York Life Insurance building] in Lower Manhattan. Opening with inaugural solo shows with Joel Shapiro, Richard Tuttle, and James Bishop, the Clocktower . . . mounted groundbreaking solo exhibitions by artists including Gordon Matta-Clark, Lynda Benglis, Max Neuhaus, Dennis Oppenheim, Richard Artschwager, Pat Steir, Vito Acconci, Michelangelo Pistoletto, Charlotte Moorman, Laurie Anderson, and Marina AbramoviÄ‡. . . . In 1976, Heiss founded P.S.1 Contemporary Art Center in Long Island City, Queens, and the Clocktower became an auxiliary space for artist residencies and group shows of emerging artists. In 2004, the space became the headquarters of P.S.1â€™s Art Radio WPS1.org, the world's first Internet art radio station. WPS1 produced hundreds of hours of curated programming from art fairs and festivals worldwide  . . . and partnered with numerous arts organizations to present recordings of public programs, events, performances, and radio profiles . . . . In December 2008, Alanna Heiss left P.S.1 . . . negotiated a transfer of the Clocktower Gallery lease and WPS1 radio programs, and re-launched both under ARTonAIR.org. . . . In December 2013 . . . the Clocktower announced the final exhibition [in its original space], and plans for relocation through a year of creative collaborations with partner organizations all over New York City."" Clocktower2016.","About Clocktower Productions. Accessed June 7, 2016, http://clocktower.org/about.",TB,
Club 57,,57 Saint Marks Place,,,,,,,"""Club 57 [was] an East Village performance space in the basement of the Holy Cross Polish National Church where Keith Haring, Cyndi Lauper, Fab Five Freddy, and the B-52s first tried out their songs, poetry and art. Street artist Haring in particular credited the club with giving him a community â€” and the courage to try on a new identity.â€ù Bradley2015:[n.p.]","Bradley, Elizabeth L. New York. London: Reaktion Books Ltd., 2015.",SM,
Colab,Collaborative Projects,"various, including 5 Bleecker Street; 591 Broadway; 201 West Forty-first (Times Square)",,,1977,tbd,,,"""In December 2008, Alanna Heiss left P.S.1 Contemporary Art Center, negotiated a transfer of the Clocktower Gallery lease and WPS1 radio programs, and re-launched both under ARTonAIR.org, which re-vitalized the Clocktower Galleryâ€™s exhibition and artist residency program and substantially increased its radio production, with programs ranging from in-depth coverage of the New York arts and culture scene to cooking shows, experimental music shows, and curated playlists by renowned DJs, musicians and composers. ARTonAIR quickly tripled its online audience, and restored the Clocktower Galleryâ€™s role in New York City culture by making it accessible to visitors from around the world."" Ault2002:[n.p.].",,TB,
Collective: Unconscious,,28 Avenue B OR Ludlow Street?,,,1995?,,,,"Collective: Unconscious, a fixture of New Yorkâ€™s alternative theater scene since its founding 13 years ago, has announced that it will permanently close its theater [at 279 Church Street] on July 31. . . . Collectiveâ€™s closure will mean the demise of one of the last physical ties to a now-vanished time and placeâ€”the Lower East Side of the â€™90s and early â€™00s, when the companyâ€™s former storefront space on Ludlow Street was surrounded by numerous similar ramshackle venues mostly located in repurposed stores, garages, lofts, and schools. Collectiveâ€™s former neighbors Todo Con Nada, the Present Company Theatorium, Surf Reality, the Piano Store, House of Candles, Expanded Arts, Luna Lounge, Tonic, and CHARAS/El Bohio have all vanished, mostly due to skyrocketing real estate costs. Other than the Present Company, Collective was the only organization to outlive its uprooting and continue producing, taking its act to its current Tribeca home in a former topless bar in 2004. . . . [Caterina Burta:] â€œWeâ€™ll continue to operateâ€”we just wonâ€™t be a venue anymore. Weâ€™ll be a traveling circus and partner with other organizations when we want to produce something.â€ù S.D.:2016.","S.D., Trav. â€œDowntown Stalwart Collective: Unconscious to Close.â€ù Village Voice (JULY 9, 2008). Accessed August 15, 2016, http://www.villagevoice.com/arts/downtown-stalwart-collective-unconscious-to-close-7133599.",TB,http://dlib.nyu.edu/findingaids/html/fales/collun/
Collective: Unconscious,,279 Church Street,,,,2008,,,,,,
Collective for Living Theater,,,,,,,,,[TB: From Marvin & Sana; no source found. Is this a nyc venue?],,,
Coney Island High,,15 Saint Marks Place ,,,,tbd (1990s),,,Rock club. [TB: No good source found],,,
Contemporary Center,,178 Seventh Avenue South,,,1964,1965,,,"In December 2013, after 40 years of operation from its historic 1894 McKim, Mead & White building in Lower Manhattan, the Clocktower announced the final exhibition in this legendary space, and plans for relocation through a year of creative collaborations with partner organizations all over New York City. [reference missing]",,TB,
Cooper Union,,30 Cooper Square,,,,tbd (Winter 1983),,,"Artist David Hammons sold snowballs outside Cooper Union, priced according to size. Schjeldahl2016:77.","Schjeldahl, Peter. â€œLaughter and Anger: A David Hammons Retrospective.â€ù New Yorker (21 March 2016), 77.",TB,
The Cornelia Street Cafe,,29 Cornelia Street,,,1977,,,,"â€œOpen from July 1977, it presented poetry readings and music from its early years. In the late 1990s it began to offer jazz regularly in a basement-level room. Notable performers have included Michael Formanek, Wolfgang Muthspiel, and Tony Malaby.â€ù GroveNightclubs2016.","""Nightclubs and other venues."" The New Grove Dictionary of Jazz, 2nd ed. Grove Music Online. Oxford Music Online. Oxford University Press, accessed June 3, 2016, http://ezproxy.library.nyu.edu:4211/subscriber/article/grove/music/J330000pg38.",TB,
Creative Time,,59 East Fourth Street,,,,,,,"â€œIt was hard to miss the nonprofit public arts organization Creative Timeâ€™s most recent large-scale production, the artist Kara Walkerâ€™s blockbuster â€œA Subtlety,â€ù staged at the decommissioned Domino Sugar Factory in Brooklyn last spring. If you didnâ€™t catch it in person, surely you saw it on Instagram, where it seemed every one of its 140,000 visitors took a selfie to commemorate the pilgrimage. This year, Creative Time will head to Manhattan with â€˜Drifting in Daylight: Art in Central Park,â€™ which will feature seven to 10 sculptural, social and interactive works commissioned by the Central Park Conservancy to celebrate its 35 years of stewardship of the islandâ€™s largest green space.â€ù Straaten2016.","Straaten, Laura van. â€œFor Its Next Big Project, Creative Time Heads to Central Park.â€ù New York Times Style Magazine (February 9, 2015). Accessed August 15, 2016,",TB,http://tmagazine.blogs.nytimes.com/2015/02/09/creative-time-art-in-central-park/?_r=0.
Crow Bar,,339 East Tenth Street,,,,,,,"â€œFor many New Yorkers and tourists, Avenue A is a boundary line, east of which they will not cross. Beyond Avenue A, the streets get darker, the commercial offerings more sporadic. . . . East of Avenue A . . . there are after-hours clubs both established (Save the Robots on Avenue B, near Third Street) and obscure (Buono Sera, on Fourth Street near Avenue C). There are gay and lesbian hot spots that might have anything from techno dances to demo-tape listening nights, like Cake on Avenue B off Sixth Street, the Crow Bar on 10th Street, and Meow Mix on Houston Street. . . . The neighborhood hides a lifetime of secrets. . . . A parade marching down Avenue B may be squatters protesting their eviction from East 13th Street, Puerto Ricans celebrating their Independence Day, residents trying to protect their community gardens or addicts on their way to a needle exchange.â€ù Strauss2016.","Strauss, Neil. â€œLife Beyond Avenue A.â€ù New York Times (September 6, 1996). Accessed August 10, 2016, http://www.nytimes.com/1996/09/06/books/life-beyond-avenue-a.html?pagewanted=all.",TB,
Dance Theater Workshop,"DTW, Judson Dance Theater Workshop, New York Live Arts",219 West Nineteenth Street,Chelsea,,1965,2011,,,"Now New York Live Arts, home of Bill T. Jones/Arnie Zane Dance Company.",,TB,
Danceteria,,252 West Thirty-seventh Street,,,1979,1980,,,"Rudolf Pieper and Jim Fouratt opened the first iteration of Danceteria in 1979. A variety of DJs played at the club, including Mark Kamins and Bill Bahlman. This first location of Danceteria had a Video Lounge created by Emily Armstrong and Pat Ivers. In 1980, the New York Police Department and Fire Department closed the club citing it as an illegal unlicensed facility.",,SM,
Danceteria,,30 East Thirtieth Street,,,1982,,,,"John Argento hired Rudolf Pieper and Jim Fouratt in 1982, two years after the first Danceteria closed, to run a new club on 21st Street, which became the second Danceteria. The new location had six floors and maintained the style of the first with a rotation of DJs and a Video Lounge. Fouratt was the talent booker for both clubs, but Argento and Pieper removed him from the position shortly after the 21st Street Danceteria opened and hired Ruth Polsky in his place. Polsky brought major musicians to Danceteria including Madonna, New Order, The Smiths, Run-DMC, and the Beastie Boys as well as artists Keith Haring and Jean-Michel Basquiat. ",,SM,
Danceteria,,30 West Twenty-first Street,,,1990,1993,,,The third New York City location opened in 1990 in the first floor ballroom of the Martha Washington Hotel and also featured various DJs until it closed in 1993.,,SM,
Darinka,,118 East First Street,,,,,,,"Darinka: A Performance Studio was opened on April 21, 1984 by Gary Ray Bugarcic (aka Gary Ray). The club served as a venue for artists of all disciplines, including performance, theatre, music, dance, film, video, fine art, and poetry and prose. In keeping with the Eastern European roots of the East Village/Lower East Side, the club was named after Garyâ€™s mother, who was Croatian born. Darinka is a derivative of the Slavic word dar, meaning â€œgift.â€ù",Fales Darinka finding aid,SM,http://dlib.nyu.edu/findingaids/html/fales/darinka/
Les Deux Megots,,64 East Seventh Street,,,,,,,"""A trajectory can be traced from the Tenth Street Coffeehouse to Les Deux MÃ©gots to Le Metro to, in the fall of 1966, the poetry project at St. Mark's Church. . . . It was here that the growing anarchic aura surrounding the poetry scene exploded as the Church became a social center for poets, friends of poets, junkies, intellectuals, college students, suburban day trippers [and] Young Lords. . . . New sounds like acid rock and LaMonte Young's aggressively dissonant Theater of Eternal Music were part of the neighborhood soundtrack. Pop-artist Andy Warhol rented the Polish National Social Hall at 23 St. Mark's Place and transformed it into the Electric Circus. Here Warhol debuted the Exploding Plastic Inevitable, where poet Gerard Malanga and 'superstar' Mary Woronov danced on stage to the music of the Velvet Underground. In early 1968, Bill Graham opened the Fillmore East, a performance space on Second Avenue where musicians including . . . proto-punk band the MC5 . . . could be heard."" Kane2010:195-196.","Kane, Daniel. â€œFrom Poetry to Punk in the East Village.â€ù In Cyrus R. K. Patel and Bryan Waterman, The Cambridge Companion to the Literature of New York, 189-201. New York: Cambridge University Press, 2010.",TB,
DIA,DIA Downtown,535 West Twenty-second Street,,,,,,,"â€œOccasionally a phenomenon comes along that seems to justify the commotion it makes in the star-obsessed world of the eighties. Tim Rollins + K.O.S. is the moniker for a collaboration between a white artist-teacher and his South Bronx high-school students, mostly â€œlearning disabledâ€ù blacks and Puerto Ricans who call themselves Kids of Survival. . . In the cool white vault of Diaâ€™s West 22nd Street space, K.O.S.â€™s â€œAmerikaâ€ù paintings [series] . . . reflects the passion with which it was made. Itâ€™s good, complex art; itâ€™s not remedial. Best of all is its wild joy.â€ù Larsen1989: 123.",,,
Dillon's,,,,,,,,,"art bar, early 1960s",,,
Dixon Place,Dixon's,,,,,,,,"Ellie Covan: ""Dixon Place began as a 'salon' in my living room. It sounds romantic, and it was. . . . The transition of my living room to a performance space still seems bizarre. But the really incredible thing is that it still exists. The original idea was that Dixon Place in New York would be a short-term project--something new, something fun, something like an experiment. . . . Since Dixon Place began with fiction readings in Paris, I decided to continue that tradition [in New York]. . . Now . . . I'm presenting informal performances on a regular basis. . . . Artists feel safe enough to open themselves up, take risks, to fail, to succeed, to invite their families, to take off their clothes--whatever! Whatever it takes to find that moment they were hoping to find--and to do all that at my house! I am truly lucky."" White1993:34-35.","White, David R., Lise Friedman, and Tia Tibbitts Levinson. Poor Dancerâ€™s Almanac: Managing Life and Work in the Performing Arts. Durham, N.C.: Duke University Press, 1993.",TB,
The Dom,"Arlington Hall, The Balloon Farm, The Dom Restaurant, Electric Circus, Exploding Plastic Inevitable, Polish National Hall, Polish National Home, Polski Dom Narodwy, Stanley's Bar",19-25 Saint Marks Place (different accounts give different street numbers),,,1960s,1971,,,"""In the late 1960s, 19-25 St. Mark's Place was the central destination for the new East Village . . . [a new name for a neighborhood] traditionally . . . considered part of the immigrant Lower East Side. (Andy Warhol called it 'Babushkaville.'). These buildings were home to three related, and overlapping music scenes: the Dom, the Electric Circus, and Warhol's Exploding Plastic Inevitable. In the 1880s, they had housed the German social organization called Arlington Hall; in the 1920s, the hall was bought by the Polish National Home as a public gathering space, bar, and restaurant. Then, in the 1960s, the bar was taken over by Stanley Tolkin, and the upstairs ballroom became a club called the Dom [taken from Polski Dom Narodwy (Polish National Home)] . . . known for its good jukebox and racially integrated crowd. Meanwhile, Stanley's Bar, downstairs, played host to bands like the Fugs. . . . In April 1966, Andy Warhol rented the building and completely restyled its interior. He installed a rotating, mirrored ball, resuscitating the long-dormant dance floor accessory that later would come to define the age of disco. When he was done . . . a month-long party began that he dubbed the Exploding Plastic Inevitable . . . [whose house band was the Velvet Underground]. Warhol soon took the party on the road. . . . When they returned to New York [in 1966], the Dom had become the Balloon Farm, which was soon transformed [in 1967] into the Electric Circus. . . In 1970, a small bomb went off on the dance floor and by 1971 it had closed."" Nevius2009:[n.p.]; The space pioneered lighting and projection effects and hosted early electronic music performances by Terry Riley and Morton Subotnick. Perpetua2016.","Nevius, Michelle and James Nevius. Inside the Apple: A Streetwise History of New York City. New York: Free Press, 2009; Perpetua, Matthew. â€œIconic New York City Music Venues, Then and Now.â€ù Buzzfeed (July 22, 2013). Accessed June 4, 2016, http://www.buzzfeed.com/perpetua/iconic-nyc-music-venues-then-and-now#.ekR58M4wk.",TB,
Downtown Beirut,,158 First Avenue,,,,,,,"â€œIn the â€™80s I felt that every block on the Lower East Side had the potential to change my life. After all, there was Allen Ginsberg heading home to East 12th Street with a bag of groceries; Joey and Marky Ramone, in black leather jackets, striding down St. Markâ€™s Place like kings; Thurston Moore and Kim Gordon flipping through art magazines at Gem Spa. Every day new art galleries were literally bursting out of holes in the wall. Keith Haring was alive, Jeff Koons was revving up his shell game, and Julian Schnabel was smashing plates. The streets were alive with the sound of punk and hip-hop, every wall tagged in graffiti, the sidewalks glittering with crack vials. Tompkins Square Park had become the squalid Tent City and the scene of a riot. Half the tenement buildings on the Lower East Side looked burned out, and seemingly held together only by the CBGB Sunday matinee posters plastered to the bricks. Downtown Beirut flaunted a similarly appealing squalidness. . . . The bathroom was plastered in band stickers, the walls magic-markered with proclamations of love and hate, philosophical rantings and explicit hieroglyphics depicting human genitalia. . . . There was a kind of anonymity that came when I slipped into the low light and smoke, my voice distorted by the pounding jukebox. I wasnâ€™t the girl from a small town in Delaware . . . whose first job in the city was selling diamond earrings at Tiffanyâ€™s. I was a writer. I was the girl with the white buzz cut, in a black leather jacket and Doc Martens Iâ€™d bought from Jimmy at Trash and Vaudeville, with the last of my paycheck. . . . The jukebox could be . . . like a fearsome mythological beast hunkered down, blasting punk and hardcore: Throbbing Gristle, Dead Kennedys, the Misfits. Fortunately this was the music I loved, and Downtown Beirut was the only place outside of the shitty apartment my future husband was sharing with three other people on Staten Island that I heard it.â€ù Gibert2016.","Gibert, Tiffany. â€œBrooklyn Author Elissa Schappell on Her Favorite New York Bar.â€ù Time Out New York (September 23 2014). Accessed August 19, 2016, https://www.timeout.com/newyork/blog/brooklyn-author-elissa-schappell-on-her-favorite-new-york-bar.",TB,
The Drawing Center,,137 Greene Street,,,1977,late 1980s,,,"""â€œ[Martha] Beckâ€™s little museum was established in 1977 and originally housed in $900-a-month ground-floor space in a warehouse at 137 Greene Street in SoHo. (It moved to its present location, at 35 Wooster Street, in the late 1980s.) Its mission was to rectify what Ms. Beck saw as museumsâ€™ longstanding neglect of drawings. If paintings and sculptures represented the grand narratives of fine art, she said, drawings were often the original flashes of insight that led to them â€” the â€˜intimate, direct and experimental state of an artistâ€™s creative process,â€™ as she put it. . . . A former assistant curator of drawings at the Museum of Modern Art, Ms. Beck became a phenomenon in the SoHo art scene of the 1970s and â€™80s for her ability to put together shows of major-museum quality on a budget based on modest grants from the New York State Council on the Arts, the National Endowment for the Arts and private donors. . . . The Drawing Center has since expanded its mission to include other art forms, including dance and multimedia animation.â€ù Vitello2014","Vitello, Paul. â€œMartha Beck, Who Founded the Drawing Center in New York, Dies at 75.â€ù New York Times (January 22, 2014).",TB,
The Drawing Center,,35 Wooster Street,,,late 1980s,,,,,,,
Dream House (LaMonte Young and Marian Zarzeela),,6 Harrison Street,,,1979,1985,,,,,,
